Date,Open,High,Low,Close,Adj Close,Volume
1966/11/10,1.917696,1.930041,1.90535,1.925926,0.571382,1026200
1966/11/11,1.925926,1.983539,1.917696,1.975309,0.586033,1609400
1966/11/14,1.975309,1.987654,1.921811,1.938272,0.575045,950400
1966/11/15,1.938272,2.032922,1.925926,2.020576,0.599463,1405800
1966/11/16,2.065844,2.131687,2.065844,2.131687,0.632427,3076400
1966/11/17,2.131687,2.148148,2.069959,2.115226,0.627544,2217000
1966/11/18,2.106996,2.106996,2.041152,2.074074,0.615335,1575800
1966/11/21,2.041152,2.041152,1.99177,2.00823,0.595801,1810200
1966/11/22,2.00823,2.090535,1.99177,2.090535,0.620218,1251200
1966/11/23,2.106996,2.160494,2.106996,2.123457,0.629986,1512200
1966/11/25,2.139918,2.230453,2.139918,2.230453,0.661729,1630800
1966/11/28,2.213992,2.213992,2.123457,2.156379,0.639753,1873800
1966/11/29,2.156379,2.164609,2.098765,2.127572,0.631207,1366400
1966/11/30,2.123457,2.123457,2.053498,2.106996,0.625102,2675600
1966/12/1,2.106996,2.152263,2.078189,2.078189,0.616556,1524600
1966/12/2,2.078189,2.119342,2.065844,2.074074,0.615335,1059600
1966/12/5,2.074074,2.090535,2.00823,2.00823,0.595801,2399400
1966/12/6,1.987654,1.987654,1.909465,1.962963,0.582371,4255200
1966/12/7,1.962963,2.115226,1.962963,2.106996,0.625102,2138400
1966/12/8,2.106996,2.115226,2.057613,2.057613,0.610451,1360800
1966/12/9,2.057613,2.061728,1.995885,2.045268,0.606789,1378800
1966/12/12,2.057613,2.111111,2.057613,2.090535,0.620218,1229600
1966/12/13,2.090535,2.123457,2.049383,2.065844,0.612893,996200
1966/12/14,2.065844,2.119342,2.049383,2.09465,0.621439,883200
1966/12/15,2.09465,2.106996,2.065844,2.090535,0.620218,658800
1966/12/16,2.090535,2.139918,2.065844,2.139918,0.634869,1308600
1966/12/19,2.139918,2.230453,2.131687,2.222222,0.659287,1476000
1966/12/20,2.222222,2.230453,2.160494,2.197531,0.651962,619400
1966/12/21,2.197531,2.205761,2.160494,2.164609,0.642194,573600
1966/12/22,2.172839,2.201646,2.172839,2.1893,0.64952,394400
1966/12/23,2.1893,2.197531,2.115226,2.123457,0.629986,634400
1966/12/27,2.123457,2.172839,2.111111,2.144033,0.63609,558800
1966/12/28,2.144033,2.18107,2.139918,2.144033,0.63609,643800
1966/12/29,2.144033,2.197531,2.139918,2.156379,0.639753,549200
1966/12/30,2.156379,2.197531,2.156379,2.160494,0.640973,707400
1967/1/3,2.205761,2.279835,2.205761,2.209877,0.655624,7453800
1967/1/4,2.209877,2.222222,2.160494,2.1893,0.64952,1876800
1967/1/5,2.1893,2.226337,2.176955,2.176955,0.645857,610200
1967/1/6,2.176955,2.1893,2.148148,2.164609,0.642194,1381400
1967/1/9,2.135803,2.135803,2.09465,2.115226,0.627544,2083400
1967/1/10,2.115226,2.123457,2.090535,2.09465,0.621439,1476000
1967/1/11,2.09465,2.156379,2.032922,2.148148,0.63731,1818800
1967/1/12,2.148148,2.168724,2.102881,2.106996,0.625102,1363400
1967/1/13,2.106996,2.1893,2.098765,2.185185,0.648299,1363400
1967/1/16,2.197531,2.255144,2.197531,2.242798,0.665392,1949600
1967/1/17,2.246914,2.386831,2.246914,2.37037,0.70324,2976600
1967/1/18,2.37037,2.37037,2.320988,2.337449,0.693473,1818800
1967/1/19,2.337449,2.436214,2.325103,2.407408,0.714228,1579400
1967/1/20,2.407408,2.44856,2.407408,2.440329,0.723995,984000
1967/1/23,2.440329,2.465021,2.403292,2.403292,0.713007,1342200
1967/1/24,2.403292,2.403292,2.329218,2.374485,0.70446,1445600
1967/1/25,2.37037,2.37037,2.304527,2.304527,0.683705,1059600
1967/1/26,2.308642,2.37037,2.308642,2.37037,0.70324,1041200
1967/1/27,2.37037,2.390946,2.349794,2.353909,0.698356,540200
1967/1/30,2.353909,2.36214,2.312757,2.320988,0.688589,747000
1967/1/31,2.320988,2.345679,2.308642,2.308642,0.684926,774000
1967/2/1,2.308642,2.419753,2.242798,2.353909,0.698356,1779600
1967/2/2,2.353909,2.395062,2.316872,2.316872,0.687368,573600
1967/2/3,2.316872,2.358025,2.304527,2.304527,0.683705,634400
1967/2/6,2.304527,2.312757,2.263375,2.283951,0.680519,585800
1967/2/7,2.279835,2.279835,2.246914,2.263375,0.674387,364400
1967/2/8,2.263375,2.300411,2.242798,2.283951,0.680519,674000
